date,title,pdf_filename,url,final_pdf_url
08/11/2022,Comunicado N° 05-2022-CF Comunicado del Consejo Fiscal que expresa su preocupación por la interpretación del Tribunal Constitucional acerca de la prohibición del Congreso para generar gasto público,Comunicado_N_05-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-05-2022-cf-comunicado-del-consejo-fiscal-que-expresa-su-preocupacion-por-la-interpretacion-del-tribunal-constitucional-acerca-de-la-prohibicion-del-congreso-para-generar-gasto-publi/,https://cf.gob.pe/wp-content/uploads/2022/11/Comunicado-05-2022-Art79CPP-vf.pdf
28/10/2022,"Comunicado N° 04-2022-CF Comunicado del Consejo Fiscal sobre la situación financiera de Petroperú S.A. y el  Decreto de Urgencia N°023-2022, que establece medidas en materia económica y  financiera destinadas a evitar el desabastecimiento de combustible a nivel  nacional",Comunicado_N_04-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-04-2022-cf-comunicado-del-consejo-fiscal-sobre-la-situacion-financiera-de-petroperu-s-a-y-el-decreto-de-urgencia-n023-2022-que-establece-medidas-en-materia-economica-y-fin/,https://cf.gob.pe/wp-content/uploads/2022/10/Comunicado-del-Consejo-Fiscal-sobre-el-DU-023-2022-vf.pdf
26/05/2022,Comunicado N° 03-2022-CF Comunicado del Consejo Fiscal sobre la norma que dispone el pago de la  bonificación por preparación de clases sin la exigencia de sentencia judicial,Comunicado_N_03-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-03-2022-cf-comunicado-del-consejo-fiscal-sobre-la-norma-que-dispone-el-pago-de-la-bonificacion-por-preparacion-de-clases-y-otras-sin-la-exigencia-de-sentencia-judicial-y-menos-en/,https://cf.gob.pe/wp-content/uploads/2022/05/Comunicado-3DeudaMagisterio-1.pdf
24/05/2022,Comunicado N° 02-2022-CF Comunicado del Consejo Fiscal respecto a nueva norma de retiro de fondos del Sistema Privado de Pensiones,Comunicado_N_02-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-n-02-2022-cf-comunicado-del-consejo-fiscal-respecto-a-nueva-norma-de-retiro-de-fondos-del-sistema-privado-de-pensiones/,https://cf.gob.pe/wp-content/uploads/2022/05/2-ComunicadoCF-RetiroAFP-1.pdf
14/01/2022,Comunicado N° 01-2022-CF Comunicado del Consejo Fiscal respecto a nueva norma sobre la devolución de  aportes del FONAVI,Comunicado_N_01-2022-CF.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-respecto-a-nueva-norma-sobre-la-devolucion-de-aportes-del-fonavi/,https://cf.gob.pe/wp-content/uploads/2022/01/Comunicado-N°-01-2022-CF.pdf
28/12/2021,Comunicado del Consejo Fiscal sobre la urgencia de establecer un nuevo marco  fiscal de mediano plazo,Comunicado_del_Consejo_Fiscal_sobre_la_urgencia_de_establecer_un_nuevo_marco_fiscal_de_mediano_plazo.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-urgencia-de-establecer-un-nuevo-marco-fiscal-de-mediano-plazo/,https://cf.gob.pe/wp-content/uploads/2021/12/Comunicado-DU-112.pdf
30/10/2021,Comunicado del Consejo Fiscal sobre el Decreto de Urgencia N° 100-2021  mediante el cual se incorpora un crédito suplementario en el presupuesto del  Sector Público,Comunicado_N_100-2021.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-el-decreto-de-urgencia-n-100-2021-mediante-el-cual-se-incorpora-un-credito-suplementario-en-el-presupuesto-del-sector-publico/,https://cf.gob.pe/wp-content/uploads/2021/10/Comunicado-CSsxDUs100-v4.pdf
11/10/2021,Comunicado del Consejo Fiscal sobre el Decreto de Urgencia N° 086-2021  mediante el cual se incorpora un crédito suplementario en el presupuesto del  Sector Público,Comunicado_N_086-2021.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-el-decreto-de-urgencia-n-086-2021-mediante-el-cual-se-incorpora-un-credito-suplementario-en-el-presupuesto-del-sector-publico/,https://cf.gob.pe/wp-content/uploads/2021/10/Comunicado-CSsxDUs-v9_.pdf
06/05/2021,Comunicado del Consejo Fiscal sobre la aprobación de la Ley de Negociación Colectiva en el Sector Estatal,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_la_Ley_de_Negociación_Colectiva_en_el_Sector_Es.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-la-ley-de-negociacion-colectiva-en-el-sector-estatal/,https://cf.gob.pe/wp-content/uploads/2021/05/Comunicado-N-03-2021-CF.pdf
23/04/2021,Comunicado del Consejo Fiscal sobre la priorización de proyectos de inversión del sector Transportes y Comunicaciones que afectarían la sostenibilidad fiscal de mediano plazo,Comunicado_del_Consejo_Fiscal_sobre_la_priorización_de_proyectos_de_inversión_del_sector_Transportes.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-priorizacion-de-proyectos-de-inversion-del-sector-transportes-y-comunicaciones-que-afectarian-la-sostenibilidad-fiscal-de-mediano-plazo/,https://cf.gob.pe/wp-content/uploads/2021/04/Comunicado-PIPs-G2G-vf.pdf
11/03/2021,Comunicado del Consejo Fiscal sobre la aprobación de la norma que incorpora a los trabajadores públicos del régimen CAS a otros regímenes laborales,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_la_norma_que_incorpora_a_los_trabajadores_públi.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-la-norma-que-incorpora-a-los-trabajadores-publicos-del-regimen-cas-a-otros-regimenes-laborales/,https://cf.gob.pe/wp-content/uploads/2021/03/Comunicado-CAS-vf.pdf
16/12/2020,Comunicado del Consejo Fiscal sobre la aprobación de nuevas normas que vulneran la responsabilidad fiscal,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_nuevas_normas_que_vulneran_la_responsabilidad_f.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-nuevas-normas-que-vulneran-la-responsabilidad-fiscal/,https://cf.gob.pe/wp-content/uploads/2020/12/Comunicado-CF-161220.pdf
02/12/2020,Comunicado del Consejo Fiscal sobre la aprobación de la norma que establece el régimen de devolución de los aportes realizados a la ONP,Comunicado_del_Consejo_Fiscal_sobre_la_aprobación_de_la_norma_que_establece_el_régimen_de_devolución.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-sobre-la-aprobacion-de-la-norma-que-establece-el-regimen-de-devolucion-de-los-aportes-realizados-a-la-onp/,https://cf.gob.pe/wp-content/uploads/2020/12/Comunicado-LeyONP-Version-Final-Publicada-convertido.pdf
24/11/2020,Comunicado del Consejo Fiscal llamando a la responsabilidad fiscal,Comunicado_del_Consejo_Fiscal_llamando_a_la_responsabilidad_fiscal.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-llamando-a-la-responsabilidad-fiscal/,https://cf.gob.pe/wp-content/uploads/2020/11/Comunicado-Responsabilida-Fiscal-VF.pdf
01/04/2020,Comunicado del Consejo Fiscal ante la crisis generada por la pandemia del Covid-19,Comunicado_del_Consejo_Fiscal_ante_la_crisis_generada_por_la_pandemia_del_Covid-19.pdf,https://cf.gob.pe/documentos/comunicados/comunicado-del-consejo-fiscal-ante-la-crisis-generada-por-la-pandemia-del-covid-19/,https://cf.gob.pe/wp-content/uploads/2020/04/Pronunciamiento-COVID-CF-VF.pdf
