date,deficit,gdp_growth,inflation,copper,copper_yoy
2015-01-31,-0.2696092159444,,3.07326326860977,265.576788929357,
2015-02-28,-0.333747668321971,,2.76858517072284,259.875545138655,
2015-03-31,-0.399409514465311,,3.02019928834408,269.418922519685,
2015-04-30,-0.681990004688227,,3.0174126785349,273.904332568387,
2015-05-31,-0.871407014642705,,3.36620186894155,285.478620716135,
2015-06-30,-0.935100355022764,,3.54491029740405,264.580947488988,
2015-07-31,-0.904423433610757,,3.56292547971011,247.514018952722,
2015-08-31,-0.996294126784586,,4.0426728422815,232.61296945963,
2015-09-30,-1.33274559430385,,3.90455488298777,236.65048158356,
2015-10-31,-1.44182709532981,,3.66020462128904,236.597906103789,
2015-11-30,-1.81783474367627,,4.17256708018865,217.720019830367,
2015-12-31,-1.91616848697148,,4.39792854166932,210.617730533857,
2016-01-31,-1.97191759938827,3.5411381430281663,4.60868784321291,203.34222154071,-26.701364266504868
2016-02-29,-2.32872148779563,6.424292199242898,4.47375701506678,208.589853320883,-21.983294428625744
2016-03-31,-2.65302794864272,3.5493811072874415,4.30108051334928,224.791999201646,-18.109197435742885
2016-04-30,-2.75367420421157,2.7663018509724413,3.9072132668403,221.023684291275,-21.45090296959342
2016-05-31,-2.77145621125814,4.873513620413261,3.54061765756533,213.75592192679,-28.933233028212335
2016-06-30,-2.82851587857217,3.5785254225590313,3.34161872071432,210.556033903078,-22.83954321207542
2016-07-31,-3.05021262631447,3.5806298593316965,2.96195894036733,220.668370264587,-11.480623516648958
2016-08-31,-3.24774682123926,5.773702181938578,2.94253095758978,215.239935437002,-7.762261250696589
2016-09-30,-3.07847795915736,4.509055365017667,3.12667111206595,214.195597262522,-9.969468788116664
2016-10-31,-2.97684899718969,2.18080649732737,3.40528775471299,214.60643217401,-9.75562989641201
2016-11-30,-2.9691163759737,3.518172183481094,3.34963245522741,247.250110662107,12.719049342647093
2016-12-31,-2.31686688644923,3.4794387787502767,3.23488195037019,255.905477880885,19.47633625455172
2017-01-31,-2.4748925656699,5.01626211264572,3.09636415923956,260.545003665625,24.788522502634702
2017-02-28,-2.42304058467619,0.7875270432218695,3.24979324559658,269.475258083762,25.61066798099061
2017-03-31,-2.37796250289113,1.1639555060952045,3.97485445147011,264.200792328717,16.153386441075668
2017-04-30,-2.38321525510495,0.31223892963108124,3.69471572141791,257.709072005962,15.356145627268525
2017-05-31,-2.58782742512721,3.6583594293286392,3.03980253604198,254.286347797924,17.362617321411378
2017-06-30,-2.63979084114372,3.970161662830729,2.73244391775147,259.444011276625,20.878911115486787
2017-07-31,-2.45458053750615,2.230237043494121,2.85206926625983,271.480433354167,20.722908062845224
2017-08-31,-2.58259294620528,2.8604537858628376,3.1738100701898,294.504213891011,31.35399269544976
2017-09-30,-2.73541366184752,3.3530884903673286,2.94499513550225,298.335261621833,33.132828965028516
2017-10-31,-2.73279696803487,3.6096132717437612,2.04014312278334,308.787644890375,36.384800468088315
2017-11-30,-2.78922715145387,2.0320544102139904,1.5443382320383,309.646893164,22.503217587967494
2017-12-31,-2.94769099448475,1.4188219270174995,1.36485588371446,311.065007491333,19.519376836870528
2018-01-31,-2.88817076440604,2.872051765495809,1.25318836941743,320.780031028815,20.798002157297102
2018-02-28,-2.97804978863888,2.714131636332495,1.17956124835664,317.810628021425,16.497911663219078
2018-03-31,-2.85785890898553,3.8812884652786206,0.363136029353744,308.158285477,15.390417379450394
2018-04-30,-2.57981429166857,8.084185728138804,0.48486988623302,310.407298554833,18.605398063096423
2018-05-31,-2.211249535244,6.707248950005296,0.930692513230167,309.59848607313,19.68152661910816
2018-06-30,-2.10426066444899,2.0717300433597208,1.42933403390647,315.965965051,19.7093579083651
2018-07-31,-2.06957699475852,2.607024074003461,1.61610098729974,283.52925067775,4.342522673943705
2018-08-31,-2.0229424607494,2.3202833784494503,1.07057542660273,274.550586927674,-7.015778011426033
2018-09-30,-2.02084714683827,2.390255045983669,1.28028100935954,274.457970268212,-8.341975767325849
2018-10-31,-2.09363563565977,4.08443549632711,1.84089384430844,282.115718802978,-9.033647014756951
2018-11-30,-2.12483815738559,5.060036792484746,2.16709746401055,281.042224330875,-9.692767138626301
2018-12-31,-2.26354231388549,4.709016871323901,2.1925231538682,274.9514949665,-12.340721746994454
2019-01-31,-2.01538526438664,1.6823927633534907,2.12915785051415,269.412667267054,-17.451134347420805
2019-02-28,-1.81465945579891,2.0822092546397997,2.00338485500231,285.785305728037,-10.621484638097556
2019-03-31,-1.74793328737229,3.3859989457573514,2.24744059848037,292.08918668875,-5.355437535298613
2019-04-30,-1.71696136082885,-0.0033697959582190684,2.59264472909832,292.131526885625,-6.068116602513474
2019-05-31,-1.55808192419188,0.6896895890478039,2.72512754617208,273.214954612098,-12.501738686313502
2019-06-30,-1.62424582607461,2.8186584617884147,2.29478053967056,266.813237862325,-16.908557226573606
2019-07-31,-1.61762430545508,3.930357505337878,2.11191328006436,269.488101650326,-5.079105518532767
2019-08-31,-1.7890289611016,3.715001701742615,2.03972339384534,258.777024314375,-5.916875058263393
2019-09-30,-1.57447264976904,2.5311235552709865,1.85100693723761,261.23518569225,-4.937703926247572
2019-10-31,-1.5518848385437,2.7072545852833807,1.88056226356924,261.146636573063,-7.723526162458327
2019-11-30,-1.55761784814083,2.3100877645152007,1.86679694871124,265.802968856333,-5.574960683892005
2019-12-31,-1.59169487088411,1.2399281969790676,1.90009157916248,276.109407307125,0.42024902873611936
2020-01-31,-1.70482828324072,3.3023985096534814,1.88835605229068,273.803342801617,1.6165838533051868
2020-02-29,-1.99019112323306,4.578725535646333,1.90403776113918,257.99200024675,-10.231227200112869
2020-03-31,-2.62022738422083,-17.606950235691343,1.82153296943842,235.080227254398,-21.71323410435555
2020-04-30,-3.84582041183634,-39.27759154405715,1.72448975655499,229.157836563294,-24.279312662281605
2020-05-31,-4.49964071589708,-32.727955735992474,1.7819197522911,237.725063518376,-13.914405427767473
