h,beta_tau,se_tau,t_tau,p_tau,stars,n_obs,r2
3,0.1943986778967804,0.20352340086343654,0.9551662220268282,0.33949364449636543,,68,0.8789627448562917
6,0.1293875512431381,0.3269951150257553,0.39568649590666544,0.6923363188671766,,68,0.6938409038693591
9,-0.3805757723221528,0.42321719224965654,-0.8992445942452416,0.36852239199878456,,67,0.6002696330115842
12,-0.512776725663474,0.40475533210838965,-1.266880717771884,0.20519794436068461,,61,0.5366848787410421
